name,status,url,docs,src,kind,rel_name,rel_url_charmhub,rel_url_schema,description
charms.opencti.opencti_connector,,https://charmhub.io/opencti/libraries/opencti_connector,,https://github.com/canonical/opencti-operator/,Charmhub,opencti-connector,https://charmhub.io/integrations/opencti_connector,https://documentation.ubuntu.com/charmlibs/reference/interfaces/opencti_connector/v0/,
charms.alertmanager_k8s.alertmanager_dispatch,,https://charmhub.io/alertmanager-k8s/libraries/alertmanager_dispatch,,https://github.com/canonical/alertmanager-k8s-operator,Charmhub,alertmanager_dispatch,https://charmhub.io/integrations/alertmanager_dispatch,,
charms.alertmanager_k8s.alertmanager_remote_configuration,,https://charmhub.io/alertmanager-k8s/libraries/alertmanager_remote_configuration,,https://github.com/canonical/alertmanager-k8s-operator,Charmhub,alertmanager_remote_configuration,https://charmhub.io/integrations/alertmanager_remote_configuration,,
charms.oathkeeper.auth_proxy,,https://charmhub.io/oathkeeper/libraries/auth_proxy,,https://github.com/canonical/oathkeeper-operator,Charmhub,auth_proxy,https://charmhub.io/integrations/auth_proxy,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/auth_proxy/v0,
charms.oauth2_proxy_k8s.auth_proxy,,https://charmhub.io/oauth2-proxy-k8s/libraries/auth_proxy,,https://github.com/canonical/oauth2-proxy-k8s-operator,Charmhub,auth_proxy,https://charmhub.io/integrations/auth_proxy,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/auth_proxy/v0,
charms.blackbox_exporter_k8s.blackbox_probes,,https://charmhub.io/blackbox-exporter-k8s/libraries/blackbox_probes,,https://github.com/canonical/blackbox-exporter-k8s-operator,Charmhub,blackbox_exporter_probes,https://charmhub.io/blackbox-exporter-k8s/integrations#probes,,"(The Charmhub interfaces page doesn't load, this link is to a charm that uses the interface.)"
charms.catalogue_k8s.catalogue,,https://charmhub.io/catalogue-k8s/libraries/catalogue,,https://github.com/canonical/catalogue-k8s-operator,Charmhub,catalogue,https://charmhub.io/integrations/catalogue,,Transfer catalogue data for display by the provider.
charms.certificate_transfer_interface.certificate_transfer,,https://charmhub.io/certificate-transfer-interface/libraries/certificate_transfer,,https://github.com/canonical/certificate-transfer-interface,Charmhub,certificate_transfer,https://charmhub.io/integrations/certificate_transfer,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/certificate_transfer/v1,Transfer certificates between charms.
charms.grafana_cloud_integrator.cloud_config_provider,,https://charmhub.io/grafana-cloud-integrator/libraries/cloud_config_provider,,https://github.com/canonical/grafana-cloud-integrator,Charmhub,grafana_cloud_config,https://charmhub.io/integrations/grafana_cloud_config,,
charms.grafana_cloud_integrator.cloud_config_requirer,,https://charmhub.io/grafana-cloud-integrator/libraries/cloud_config_requirer,,https://github.com/canonical/grafana-cloud-integrator,Charmhub,grafana_cloud_config,https://charmhub.io/integrations/grafana_cloud_config,,
charms.cloudflare_configurator.cloudflared_route,,https://charmhub.io/cloudflare-configurator/libraries/cloudflared_route,,https://github.com/canonical/cloudflare-configurator-operator,Charmhub,cloudflared_route,https://charmhub.io/integrations/cloudflared_route,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/cloudflared_route/v0,
charms.grafana_agent.cos_agent,,https://charmhub.io/grafana-agent/libraries/cos_agent,,https://github.com/canonical/grafana-agent-operator,Charmhub,cos_agent,https://charmhub.io/integrations/cos_agent,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/cos_agent/v0,Machine charm specific interface for exchanging observability related data.
charms.data_platform_libs.data_interfaces,,https://charmhub.io/data-platform-libs/libraries/data_interfaces,,https://github.com/canonical/data-platform-libs,Charmhub,etcd_client,https://charmhub.io/integrations/etcd_client,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/etcd_client,Database charms from the Data Platform Team recommend using the generic ``data_platform_libs.data_interfaces`` library to implement the interface.
charms.data_platform_libs.data_interfaces,,https://charmhub.io/data-platform-libs/libraries/data_interfaces,,https://github.com/canonical/data-platform-libs,Charmhub,mysql_client,https://charmhub.io/integrations/mysql_client,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/mysql_client,Database charms from the Data Platform Team recommend using the generic ``data_platform_libs.data_interfaces`` library to implement the interface.
charms.data_platform_libs.data_interfaces,,https://charmhub.io/data-platform-libs/libraries/data_interfaces,,https://github.com/canonical/data-platform-libs,Charmhub,mongodb_client,https://charmhub.io/integrations/mongodb_client,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/mongodb_client,Database charms from the Data Platform Team recommend using the generic ``data_platform_libs.data_interfaces`` library to implement the interface.
charms.data_platform_libs.data_interfaces,,https://charmhub.io/data-platform-libs/libraries/data_interfaces,,https://github.com/canonical/data-platform-libs,Charmhub,opensearch_client,https://charmhub.io/integrations/opensearch_client,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/opensearch_client,Database charms from the Data Platform Team recommend using the generic ``data_platform_libs.data_interfaces`` library to implement the interface.
charms.data_platform_libs.data_interfaces,,https://charmhub.io/data-platform-libs/libraries/data_interfaces,,https://github.com/canonical/data-platform-libs,Charmhub,postgresql_client,https://charmhub.io/integrations/postgresql_client,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/postgresql_client,Database charms from the Data Platform Team recommend using the generic ``data_platform_libs.data_interfaces`` library to implement the interface.
charms.data_platform_libs.database_provides,legacy,https://charmhub.io/data-platform-libs/libraries/database_provides,,https://github.com/canonical/data-platform-libs,Charmhub,,,,Deprecated in favour of ``data_platform_helpers.data_interfaces``.
charms.data_platform_libs.database_requires,legacy,https://charmhub.io/data-platform-libs/libraries/database_requires,,https://github.com/canonical/data-platform-libs,Charmhub,,,,Deprecated in favour of ``data_platform_helpers.data_interfaces``.
charms.dex_auth.dex_oidc_config,,https://charmhub.io/dex-auth/libraries/dex_oidc_config,,https://github.com/canonical/dex-auth-operator,Charmhub,dex-oidc-config,https://charmhub.io/integrations/dex-oidc-config,,
charms.sdcore_nms_k8s.fiveg_core_gnb,,https://charmhub.io/sdcore-nms-k8s/libraries/fiveg_core_gnb,,https://github.com/canonical/sdcore-nms-k8s-operator,Charmhub,fiveg_core_gnb,https://charmhub.io/integrations/fiveg_core_gnb,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/fiveg_core_gnb/v0,
charms.sdcore_amf_k8s.fiveg_n2,,https://charmhub.io/sdcore-amf-k8s/libraries/fiveg_n2,,https://github.com/canonical/sdcore-amf-k8s-operator,Charmhub,fiveg_n2,https://charmhub.io/integrations/fiveg_n2,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/fiveg_n2/v0,
charms.sdcore_upf_k8s.fiveg_n4,,https://charmhub.io/sdcore-upf-k8s/libraries/fiveg_n4,,https://github.com/canonical/sdcore-upf-k8s-operator,Charmhub,fiveg_n4,https://charmhub.io/integrations/fiveg_n4,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/fiveg_n4/v0,
charms.sdcore_nrf_k8s.fiveg_nrf,,https://charmhub.io/sdcore-nrf-k8s/libraries/fiveg_nrf,,https://github.com/canonical/sdcore-nrf-k8s-operator,Charmhub,fiveg_nrf,https://charmhub.io/integrations/fiveg_nrf,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/fiveg_nrf/v0,Transfer Network Repository Function information from one charm to another.
charms.oathkeeper.forward_auth,,https://charmhub.io/oathkeeper/libraries/forward_auth,,https://github.com/canonical/oathkeeper-operator,Charmhub,forward_auth,https://charmhub.io/integrations/forward_auth,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/forward_auth/v0,
charms.oauth2_proxy_k8s.forward_auth,,https://charmhub.io/oauth2-proxy-k8s/libraries/forward_auth,,https://github.com/canonical/oauth2-proxy-k8s-operator,Charmhub,forward_auth,https://charmhub.io/integrations/forward_auth,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/forward_auth/v0,
charms.glauth_utils.glauth_auxiliary,,https://charmhub.io/glauth-utils/libraries/glauth_auxiliary,,https://github.com/canonical/glauth-utils,Charmhub,glauth_auxilary,https://charmhub.io/integrations/glauth_auxiliary,,
charms.grafana_k8s.grafana_auth,,https://charmhub.io/grafana-k8s/libraries/grafana_auth,,https://github.com/canonical/grafana-k8s-operator,Charmhub,grafana_auth,https://charmhub.io/integrations/grafana_auth,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/grafana_auth/v0,
charms.grafana_k8s.grafana_dashboard,,https://charmhub.io/grafana-k8s/libraries/grafana_dashboard,,https://github.com/canonical/grafana-k8s-operator,Charmhub,grafana_dashboard,https://charmhub.io/integrations/grafana_dashboard,,Manage dashboards for Grafana.
charms.grafana_k8s.grafana_metadata,,https://charmhub.io/grafana-k8s/libraries/grafana_metadata,,https://github.com/canonical/grafana-k8s-operator,Charmhub,grafana_metadata,https://charmhub.io/integrations/grafana_metadata,,
charms.grafana_k8s.grafana_source,,https://charmhub.io/grafana-k8s/libraries/grafana_source,,https://github.com/canonical/grafana-k8s-operator,Charmhub,grafana-source,https://charmhub.io/integrations/grafana-source,,Provide a data source for Grafana dashboards.
charms.hydra.hydra_endpoints,,https://charmhub.io/hydra/libraries/hydra_endpoints,,https://github.com/canonical/hydra-operator,Charmhub,hydra_endpoints,https://charmhub.io/integrations/hydra_endpoints,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/hydra_endpoints/v0,
charms.traefik_k8s.ingress,,https://charmhub.io/traefik-k8s/libraries/ingress,,https://github.com/canonical/traefik-k8s-operator,Charmhub,ingress,https://charmhub.io/integrations/ingress,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/ingress/v2,Manage per-application ingress and and load-balancing.
charms.nginx_ingress_integrator.ingress,,https://charmhub.io/nginx-ingress-integrator/libraries/ingress,,https://github.com/canonical/nginx-ingress-integrator-operator,Charmhub,ingress,https://charmhub.io/integrations/ingress,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/ingress/v2,Manage ingress.
charms.traefik_k8s.ingress_per_unit,,https://charmhub.io/traefik-k8s/libraries/ingress_per_unit,,https://github.com/canonical/traefik-k8s-operator,Charmhub,ingress_per_unit,https://charmhub.io/integrations/ingress_per_unit,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/ingress_per_unit/v0,
charms.istio_pilot.istio_gateway_info,,https://charmhub.io/istio-pilot/libraries/istio_gateway_info,,https://github.com/canonical/istio-operators,Charmhub,istio-gateway-info,https://charmhub.io/integrations/istio-gateway-info,,
charms.mlops_libs.k8s_service_info,,https://charmhub.io/mlops-libs/libraries/k8s_service_info,,https://github.com/canonical/mlops-libs,Charmhub,k8s-service,https://charmhub.io/integrations/k8s-service,,
charms.karma_k8s.karma_dashboard,,https://charmhub.io/karma-k8s/libraries/karma_dashboard,,https://github.com/canonical/karma-k8s-operator,Charmhub,karma_dashboard,https://charmhub.io/integrations/karma_dashboard,,
charms.kratos_external_idp_integrator.kratos_external_provider,,https://charmhub.io/kratos-external-idp-integrator/libraries/kratos_external_provider,,https://github.com/canonical/kratos-external-idp-integrator,Charmhub,external_provider,https://charmhub.io/integrations/external_provider,,
charms.kratos.kratos_info,,https://charmhub.io/kratos/libraries/kratos_info,,https://github.com/canonical/kratos-operator,Charmhub,kratos_info,https://charmhub.io/integrations/kratos_info,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/kratos_info/v0,
charms.kratos.kratos_registration_webhook,unlisted,https://charmhub.io/kratos/libraries/kratos_registration_webhook,,https://github.com/canonical/kratos-operator,Charmhub,,,,
charms.kubeflow_dashboard.kubeflow_dashboard_links,,https://charmhub.io/kubeflow-dashboard/libraries/kubeflow_dashboard_links,,https://github.com/canonical/kubeflow-dashboard-operator,Charmhub,kubeflow_dashboard_links,https://charmhub.io/integrations/kubeflow_dashboard_links,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/kubeflow_dashboard_links/v0,
charms.resource_dispatcher.kubernetes_manifests,,https://charmhub.io/resource-dispatcher/libraries/kubernetes_manifests,,https://github.com/canonical/resource-dispatcher,Charmhub,kubernetes_manifest,https://charmhub.io/integrations/kubernetes_manifest,,
charms.glauth_k8s.ldap,,https://charmhub.io/glauth-k8s/libraries/ldap,,https://github.com/canonical/glauth-k8s-operator,Charmhub,ldap,https://charmhub.io/integrations/ldap,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/ldap/v0,
charms.lego_base_k8s.lego_client,legacy,https://charmhub.io/lego-base-k8s/libraries/lego_client,,https://github.com/canonical/lego-base-k8s-operator,Charmhub,tls_certificates,https://charmhub.io/integrations/tls_certificates,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/tls_certificates/v1,Legacy charm library used to implement the provider side of this interface.
loadbalancer_interface,,https://pypi.org/project/loadbalancer-interface/,https://github.com/juju-solutions/loadbalancer-interface/blob/main/docs/api.md,https://github.com/juju-solutions/loadbalancer-interface,PyPI,loadbalancer,https://charmhub.io/integrations/loadbalancer,,
charms.identity_platform_login_ui_operator.login_ui_endpoints,,https://charmhub.io/identity-platform-login-ui-operator/libraries/login_ui_endpoints,,https://github.com/canonical/identity-platform-login-ui-operator,Charmhub,login_ui_endpoints,https://charmhub.io/integrations/login_ui_endpoints,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/login_ui_endpoints/v0,
charms.loki_k8s.loki_push_api,,https://charmhub.io/loki-k8s/libraries/loki_push_api,,https://github.com/canonical/loki-k8s-operator,Charmhub,loki_push_api,https://charmhub.io/integrations/loki_push_api,,Manage logs for Loki.
charms.synapse.matrix_auth,,https://charmhub.io/synapse/libraries/matrix_auth,,https://github.com/canonical/synapse-operator,Charmhub,matrix_auth,https://charmhub.io/maubot/integrations#matrix-auth,,"(The Charmhub interfaces page doesn't load, this link is to a charm that uses the interface.)"
charms.nginx_ingress_integrator.nginx_route,,https://charmhub.io/nginx-ingress-integrator/libraries/nginx_route,,https://github.com/canonical/nginx-ingress-integrator-operator,Charmhub,nginx_route,https://charmhub.io/integrations/nginx_route,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/nginx_route/v0,Manage external HTTP access to Kubernetes workloads using Nginx.
charms.oathkeeper.oathkeeper_info,,https://charmhub.io/oathkeeper/libraries/oathkeeper_info,,https://github.com/canonical/oathkeeper-operator,Charmhub,oathkeeper_info,https://charmhub.io/integrations/oathkeeper_info,,
charms.hydra.oauth,,https://charmhub.io/hydra/libraries/oauth,,https://github.com/canonical/hydra-operator,Charmhub,oauth,https://charmhub.io/integrations/oauth,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/oauth/v0,
charms.s3proxy_k8s.object_storage,,https://charmhub.io/s3proxy-k8s/libraries/object_storage,,https://github.com/canonical/s3proxy-k8s-operator,Charmhub,s3,https://charmhub.io/integrations/s3,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/s3/v0,
charms.openfga_k8s.openfga,,https://charmhub.io/openfga-k8s/libraries/openfga,,https://github.com/canonical/openfga-operator,Charmhub,openfga,https://charmhub.io/integrations/openfga,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/openfga/v1,
ops-lib-mysql,legacy,https://pypi.org/project/ops-lib-mysql/,,https://github.com/canonical/ops-lib-mysql,PyPI,mysql,,,"Modern charms should use the ``mysql_client`` interface, using the ``data_interfaces`` lib from ``data-platform-helpers``."
ops-lib-pgsql,legacy,https://pypi.org/project/ops-lib-pgsql/,,https://github.com/canonical/ops-lib-pgsql,PyPI,pgsql,,,"Modern charms should use the ``mysql_client`` interface, using the ``data_interfaces`` lib from ``data-platform-helpers``."
ops.interface_kube_control,,https://pypi.org/project/ops.interface-kube-control/,,https://github.com/charmed-kubernetes/interface-kube-control,PyPI,kube-control,https://charmhub.io/integrations/kube-control,,
charms.parca.parca_scrape,legacy,https://charmhub.io/parca/libraries/parca_scrape,,https://github.com/canonical/parca-operator,Charmhub,parca_scrape,https://charmhub.io/integrations/parca_scrape,,Deprecated in favour of the ``parca-k8s`` charm's ``parka_scrape`` lib.
charms.parca_k8s.parca_scrape,,https://charmhub.io/parca-k8s/libraries/parca_scrape,,https://github.com/canonical/parca-k8s-operator,Charmhub,parca_scrape,https://charmhub.io/integrations/parca_scrape,,
charms.mimir_coordinator_k8s.prometheus_api,,https://charmhub.io/mimir-coordinator-k8s/libraries/prometheus_api,,https://github.com/canonical/mimir-coordinator-k8s-operator,Charmhub,prometheus_api,https://charmhub.io/integrations/prometheus_api,,
charms.prometheus_k8s.prometheus_remote_write,,https://charmhub.io/prometheus-k8s/libraries/prometheus_remote_write,,https://github.com/canonical/prometheus-k8s-operator,Charmhub,prometheus_remote_write,https://charmhub.io/integrations/prometheus_remote_write,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/prometheus_remote_write/v0,Transfer Prometheus metrics data between charms.
charms.prometheus_k8s.prometheus_scrape,,https://charmhub.io/prometheus-k8s/libraries/prometheus_scrape,,https://github.com/canonical/prometheus-k8s-operator,Charmhub,prometheus_scrape,https://charmhub.io/integrations/prometheus_scrape,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/prometheus_scrape/v0,Manage metrics for Prometheus.
charms.prometheus_pushgateway_k8s.pushgateway,,https://charmhub.io/prometheus-pushgateway-k8s/libraries/pushgateway,,https://github.com/canonical/prometheus-pushgateway-k8s-operator,Charmhub,pushgateway,https://charmhub.io/prometheus-pushgateway-k8s/integrations#push-endpoint,,"(The Charmhub interfaces page doesn't load, this link is to a charm that uses the interface.)"
charms.redis_k8s.redis,,https://charmhub.io/redis-k8s/libraries/redis,,https://github.com/canonical/redis-k8s-operator,Charmhub,redis,https://charmhub.io/integrations/redis,,
charms.data_platform_libs.s3,,https://charmhub.io/data-platform-libs/libraries/s3,,https://github.com/canonical/data-platform-libs,Charmhub,s3,https://charmhub.io/integrations/s3,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/s3/v0,Manage s3 credentials and metadata.
charms.saml_integrator.saml,,https://charmhub.io/saml-integrator/libraries/saml,,https://github.com/canonical/saml-integrator-operator,Charmhub,saml,https://charmhub.io/integrations/saml,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/saml/v0,
charms.sdcore_nms_k8s.sdcore_config,,https://charmhub.io/sdcore-nms-k8s/libraries/sdcore_config,,https://github.com/canonical/sdcore-nms-k8s-operator,Charmhub,sdcore_config,https://charmhub.io/integrations/sdcore_config,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/sdcore_config/v0,Provide or require the web UI gRPC address for SD-Core configuration.
charms.sdcore_webui_k8s.sdcore_management,,https://charmhub.io/sdcore-webui-k8s/libraries/sdcore_management,,https://github.com/canonical/sdcore-webui-k8s-operator,Charmhub,sdcore_management,https://charmhub.io/integrations/sdcore_management,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/sdcore_management/v0,
charms.smtp_integrator.smtp,,https://charmhub.io/smtp-integrator/libraries/smtp,,https://github.com/canonical/smtp-integrator-operator,Charmhub,smtp,https://charmhub.io/integrations/smtp,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/smtp/v0,
charms.tempo_coordinator_k8s.tempo_api,,https://charmhub.io/tempo-coordinator-k8s/libraries/tempo_api,,https://github.com/canonical/tempo-coordinator-k8s-operator,Charmhub,tempo_api,https://charmhub.io/integrations/tempo_api,,
charmlibs.interfaces.tls_certificates,recommended,https://pypi.org/project/charmlibs-interfaces-tls-certificates,https://documentation.ubuntu.com/charmlibs/reference/charmlibs/interfaces/tls_certificates,https://github.com/canonical/charmlibs/tree/main/interfaces/tls_certificates,PyPI,tls_certificates,https://charmhub.io/integrations/tls_certificates,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/tls_certificates/v1,Manage TLS certificates.
charms.tls_certificates_interface.tls_certificates,legacy,https://charmhub.io/tls-certificates-interface/libraries/tls_certificates,https://charmhub.io/tls-certificates-interface/,https://github.com/canonical/tls-certificates-interface,Charmhub,tls_certificates,https://charmhub.io/integrations/tls_certificates,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/tls_certificates/v1,Manage TLS certificates. Deprecated in favor of ``charmlibs.interfaces.tls_certificates``.
charms.tempo_k8s.tracing,legacy,https://charmhub.io/tempo-k8s/libraries/tracing,,https://github.com/canonical/tempo-coordinator-k8s-operator,Charmhub,tracing,https://charmhub.io/integrations/tracing,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/tracing/v2,Deprecated in favour of ``tempo_coordinator_k8s .tracing``.
charms.tempo_coordinator_k8s.tracing,,https://charmhub.io/tempo-coordinator-k8s/libraries/tracing,,https://github.com/canonical/tempo-coordinator-k8s-operator,Charmhub,tracing,https://charmhub.io/integrations/tracing,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/tracing/v2,Provide and consume tracing data.
charms.traefik_route_k8s.traefik_route,legacy,https://charmhub.io/traefik-route-k8s/libraries/traefik_route,,https://github.com/canonical/traefik-k8s-operator,Charmhub,traefik_route,https://charmhub.io/integrations/traefik_route,,Deprecated in favour of the ``traefik-k8s`` charm's ``traefik_route`` lib.
charms.traefik_k8s.traefik_route,,https://charmhub.io/traefik-k8s/libraries/traefik_route,,https://github.com/canonical/traefik-k8s-operator,Charmhub,traefik_route,https://charmhub.io/integrations/traefik_route,,
charms.vault_k8s.vault_kv,,https://charmhub.io/vault-k8s/libraries/vault_kv,,https://github.com/canonical/vault-k8s-operator,Charmhub,vault_kv,https://charmhub.io/integrations/vault_kv,https://github.com/canonical/charm-relation-interfaces/tree/main/interfaces/vault_kv/v0,
litmus-libs,,https://pypi.org/project/litmus-libs/,,https://github.com/canonical/litmus-operators,PyPI,litmus_auth,https://charmhub.io/integrations/litmus_auth,https://documentation.ubuntu.com/charmlibs/reference/interfaces/litmus_auth/v0/,
